hop,n_queries,total_evals,unique_nodes,sharing_rate,avg_evals
0,1000,25145,23518,0.0647047126665341,25.145
1,1000,23338,22814,0.02245265232667748,23.338
2,1000,22667,22171,0.02188203114660081,22.667
3,1000,22181,21794,0.017447364861818637,22.181
4,1000,21936,21537,0.018189277899343548,21.936
5,1000,21530,21165,0.01695308871342316,21.53
6,1000,21149,20815,0.015792708875124073,21.149
7,1000,20515,20237,0.013551060199853748,20.515
8,1000,20533,20220,0.015243753957044803,20.533
9,1000,20516,20222,0.014330278806784946,20.516
10,1000,20074,19787,0.014297100727308942,20.074
11,1000,20283,19939,0.016960015776758874,20.283
12,1000,20044,19739,0.015216523647974434,20.044
13,1000,19788,19482,0.015463917525773141,19.788
14,998,19770,19492,0.01406170966110265,19.809619238476955
15,1000,19289,19012,0.014360516356472619,19.289
16,999,19412,19145,0.01375437873480323,19.43143143143143
17,1000,19525,19215,0.01587708066581306,19.525
18,1000,19014,18757,0.013516356368991289,19.014
19,1000,18792,18509,0.01505959982971472,18.792
20,1000,19041,18790,0.013182080773068594,19.041
21,1000,19076,18818,0.013524847976514986,19.076
22,1000,18929,18665,0.013946854033493605,18.929
23,999,18671,18426,0.013121953832146094,18.68968968968969
24,1000,18719,18402,0.016934665313317998,18.719
25,999,18534,18304,0.012409625553037706,18.55255255255255
26,1000,18018,17752,0.014763014763014781,18.018
27,1000,18265,18012,0.013851628798247972,18.265
28,1000,18377,18086,0.015835011155248435,18.377
29,999,17990,17755,0.013062812673707569,18.00800800800801
30,1000,17892,17632,0.014531634249944081,17.892
31,1000,18191,17956,0.012918476169534343,18.191
32,1000,18064,17841,0.012344995571302086,18.064
33,999,17799,17571,0.012809708410584819,17.816816816816818
34,1000,18093,17871,0.012269938650306789,18.093
35,999,17738,17492,0.013868530837749415,17.755755755755757
36,998,17517,17286,0.013187189587258064,17.552104208416832
37,1000,17851,17582,0.015069183799226948,17.851
38,999,17417,17207,0.012057185508411283,17.434434434434433
39,999,17589,17355,0.013303769401330379,17.606606606606608
40,999,17541,17277,0.015050453223875437,17.55855855855856
41,996,17233,17016,0.012592119770208354,17.302208835341364
42,1000,17414,17172,0.013896864591707803,17.414
43,998,17426,17239,0.010731091472512388,17.460921843687373
44,1000,17408,17153,0.0146484375,17.408
45,1000,16942,16662,0.01652697438318973,16.942
46,999,16913,16730,0.010820079228995416,16.92992992992993
47,1000,17235,17017,0.01264868001160424,17.235
48,999,16929,16728,0.011873117136275035,16.945945945945947
49,999,17100,16849,0.014678362573099402,17.117117117117118
50,997,16462,16296,0.01008382942534325,16.511534603811434
51,999,16824,16618,0.012244412743699473,16.84084084084084
52,998,16767,16569,0.01180891035963505,16.80060120240481
53,1000,16888,16661,0.013441496920890583,16.888
54,997,16555,16350,0.012382965871337914,16.60481444332999
55,999,16654,16455,0.0119490813017894,16.67067067067067
56,999,16690,16471,0.013121629718394257,16.706706706706708
57,999,16523,16274,0.015069902560067794,16.53953953953954
58,998,16742,16530,0.012662764305339858,16.77555110220441
59,997,16303,16141,0.009936821443906063,16.352056168505516
60,998,16450,16238,0.01288753799392095,16.482965931863728
61,997,16758,16540,0.013008712256832533,16.80842527582748
62,1000,16709,16522,0.011191573403554922,16.709
63,999,16268,16057,0.012970248340300028,16.284284284284283
64,997,16291,16090,0.012338100791848272,16.340020060180542
65,1000,16276,16099,0.01087490783976408,16.276
66,998,15877,15683,0.01221893304780497,15.908817635270541
67,997,16270,16042,0.01401352181929938,16.318956870611835
68,998,16081,15911,0.010571481873017818,16.113226452905813
69,999,16243,16019,0.01379055593178602,16.25925925925926
70,998,16001,15809,0.011999250046872079,16.03306613226453
71,998,16102,15892,0.013041858154266506,16.13426853707415
72,998,15957,15798,0.009964278999812004,15.988977955911823
73,999,15773,15594,0.011348506942243097,15.78878878878879
74,999,15792,15582,0.013297872340425565,15.807807807807809
75,998,15500,15318,0.011741935483870924,15.531062124248496
76,997,15870,15707,0.010270951480781387,15.917753259779339
77,1000,15930,15728,0.012680477087256725,15.93
78,996,15792,15634,0.010005065856129702,15.855421686746988
79,997,15771,15591,0.011413353623739741,15.818455366098295
80,999,15666,15494,0.010979190603855438,15.681681681681681
81,999,15836,15633,0.012818893660015207,15.851851851851851
82,997,15648,15481,0.010672290388548111,15.695085255767301
83,997,15625,15428,0.012607999999999953,15.672016048144433
84,1000,15456,15287,0.010934265010351996,15.456
85,997,15669,15466,0.012955517263386285,15.716148445336009
86,998,15298,15142,0.010197411426330238,15.32865731462926
87,996,15537,15357,0.01158524811739714,15.599397590361447
88,998,15511,15331,0.011604667655212397,15.542084168336673
89,996,15397,15221,0.011430798207442971,15.458835341365463
90,998,15374,15194,0.011708078574216185,15.404809619238478
91,994,15275,15101,0.01139116202945989,15.367203219315895
92,999,15166,14997,0.011143346960305944,15.18118118118118
93,997,15142,14974,0.011094967639677766,15.187562688064192
94,996,15226,15058,0.011033758045448594,15.28714859437751
95,998,15248,15065,0.012001573976915036,15.278557114228457
96,999,15175,14965,0.013838550247116999,15.19019019019019
97,999,15198,15030,0.011054086063955748,15.213213213213214
98,1000,15380,15217,0.01059817945383612,15.38
99,998,14819,14633,0.012551454214184465,14.848697394789578
100,500,8115,8051,0.007886629698089953,16.23
101,258,4428,4407,0.004742547425474308,17.162790697674417
102,134,2364,2361,0.0012690355329949554,17.64179104477612
103,70,1337,1335,0.0014958863126401933,19.1
