batch_size,hop,sharing_rate,active_queries
1,0,0.000000,1
1,1,0.000000,1
1,2,0.000000,1
1,3,0.000000,1
1,4,0.000000,1
1,5,0.000000,1
1,6,0.000000,1
1,7,0.000000,1
1,8,0.000000,1
1,9,0.000000,1
1,10,0.000000,1
1,11,0.000000,1
1,12,0.000000,1
1,13,0.000000,1
1,14,0.000000,1
1,15,0.000000,1
1,16,0.000000,1
1,17,0.000000,1
1,18,0.000000,1
1,19,0.000000,1
1,20,0.000000,1
1,21,0.000000,1
1,22,0.000000,1
1,23,0.000000,1
1,24,0.000000,1
1,25,0.000000,1
1,26,0.000000,1
1,27,0.000000,1
1,28,0.000000,1
1,29,0.000000,1
1,30,0.000000,1
1,31,0.000000,1
1,32,0.000000,1
1,33,0.000000,1
1,34,0.000000,1
1,35,0.000000,1
1,36,0.000000,1
1,37,0.000000,1
1,38,0.000000,1
1,39,0.000000,1
1,40,0.000000,1
1,41,0.000000,1
1,42,0.000000,1
1,43,0.000000,1
1,44,0.000000,1
1,45,0.000000,1
1,46,0.000000,1
1,47,0.000000,1
1,48,0.000000,1
1,49,0.000000,1
1,50,0.000000,1
1,51,0.000000,1
1,52,0.000000,1
1,53,0.000000,1
1,54,0.000000,1
1,55,0.000000,1
1,56,0.000000,1
1,57,0.000000,1
1,58,0.000000,1
1,59,0.000000,1
1,60,0.000000,1
1,61,0.000000,1
1,62,0.000000,1
1,63,0.000000,1
1,64,0.000000,1
1,65,0.000000,1
1,66,0.000000,1
1,67,0.000000,1
1,68,0.000000,1
1,69,0.000000,1
1,70,0.000000,1
1,71,0.000000,1
1,72,0.000000,1
1,73,0.000000,1
1,74,0.000000,1
1,75,0.000000,1
1,76,0.000000,1
1,77,0.000000,1
1,78,0.000000,1
1,79,0.000000,1
1,80,0.000000,1
1,81,0.000000,1
1,82,0.000000,1
1,83,0.000000,1
1,84,0.000000,1
1,85,0.000000,1
1,86,0.000000,1
1,87,0.000000,1
1,88,0.000000,1
1,89,0.000000,1
1,90,0.000000,1
1,91,0.000000,1
1,92,0.000000,1
1,93,0.000000,1
1,94,0.000000,1
1,95,0.000000,1
1,96,0.000000,1
1,97,0.000000,1
1,98,0.000000,1
1,99,0.000000,1
1,100,0.000000,1
1,101,0.000000,1
1,102,0.000000,1
1,103,0.000000,1
10,0,0.900000,10
10,1,0.205788,10
10,2,0.009646,10
10,3,0.012945,10
10,4,0.003289,10
10,5,0.000000,10
10,6,0.000000,10
10,7,0.000000,10
10,8,0.000000,10
10,9,0.000000,10
10,10,0.000000,10
10,11,0.000000,10
10,12,0.000000,10
10,13,0.000000,10
10,14,0.000000,10
10,15,0.000000,10
10,16,0.003636,10
10,17,0.007722,10
10,18,0.004049,10
10,19,0.000000,10
10,20,0.000000,10
10,21,0.000000,10
10,22,0.000000,10
10,23,0.000000,10
10,24,0.000000,10
10,25,0.000000,10
10,26,0.000000,10
10,27,0.000000,10
10,28,0.004000,10
10,29,0.000000,10
10,30,0.004000,10
10,31,0.003953,10
10,32,0.000000,10
10,33,0.004202,10
10,34,0.000000,10
10,35,0.000000,10
10,36,0.000000,10
10,37,0.000000,10
10,38,0.000000,10
10,39,0.000000,10
10,40,0.000000,10
10,41,0.000000,10
10,42,0.000000,10
10,43,0.000000,10
10,44,0.000000,10
10,45,0.000000,10
10,46,0.005181,10
10,47,0.000000,10
10,48,0.000000,10
10,49,0.000000,10
10,50,0.000000,10
10,51,0.000000,10
10,52,0.003817,10
10,53,0.000000,10
10,54,0.004425,10
10,55,0.000000,10
10,56,0.000000,10
10,57,0.000000,10
10,58,0.004484,10
10,59,0.000000,10
10,60,0.000000,10
10,61,0.000000,10
10,62,0.000000,10
10,63,0.000000,10
10,64,0.000000,10
10,65,0.000000,9
10,66,0.000000,10
10,67,0.000000,10
10,68,0.000000,10
10,69,0.000000,10
10,70,0.009804,10
10,71,0.000000,10
10,72,0.000000,10
10,73,0.000000,10
10,74,0.000000,10
10,75,0.000000,10
10,76,0.000000,10
10,77,0.000000,10
10,78,0.000000,10
10,79,0.000000,10
10,80,0.000000,10
10,81,0.000000,10
10,82,0.000000,10
10,83,0.000000,10
10,84,0.004386,10
10,85,0.000000,10
10,86,0.000000,10
10,87,0.000000,10
10,88,0.004831,10
10,89,0.000000,10
10,90,0.000000,10
10,91,0.000000,10
10,92,0.000000,9
10,93,0.000000,10
10,94,0.000000,10
10,95,0.000000,10
10,96,0.000000,10
10,97,0.000000,10
10,98,0.000000,10
10,99,0.000000,10
10,100,0.000000,10
10,101,0.000000,10
10,102,0.000000,10
10,103,0.000000,7
10,104,0.000000,4
10,105,0.000000,3
10,106,0.000000,3
10,107,0.000000,3
10,108,0.000000,1
50,0,0.980000,50
50,1,0.669032,50
50,2,0.113049,50
50,3,0.042098,50
50,4,0.014493,50
50,5,0.013898,50
50,6,0.004073,50
50,7,0.007179,50
50,8,0.004367,50
50,9,0.002141,50
50,10,0.001448,49
50,11,0.003740,50
50,12,0.003091,50
50,13,0.002174,50
50,14,0.003788,50
50,15,0.007758,50
50,16,0.003831,50
50,17,0.004942,50
50,18,0.021531,50
50,19,0.003228,49
50,20,0.001587,50
50,21,0.002431,50
50,22,0.002515,50
50,23,0.002443,50
50,24,0.000807,50
50,25,0.001623,50
50,26,0.001642,50
50,27,0.003244,50
