hop,n_queries,total_evals,unique_nodes,sharing_rate,avg_evals
0,1000,25532,24077,0.056987310042299844,25.532
1,1000,23841,23302,0.022608112075835796,23.841
2,1000,23148,22745,0.017409711422153085,23.148
3,1000,23154,22740,0.017880279865250093,23.154
4,1000,22520,22137,0.017007104795737082,22.52
5,1000,21775,21357,0.019196326061997726,21.775
6,1000,21795,21430,0.016746960311998182,21.795
7,1000,21160,20838,0.01521739130434785,21.16
8,1000,21155,20786,0.017442684944457554,21.155
9,1000,20975,20663,0.014874851013110812,20.975
10,1000,20572,20230,0.016624538207272055,20.572
11,1000,21109,20780,0.015585769103226066,21.109
12,1000,20327,19988,0.016677325724405945,20.327
13,1000,20033,19739,0.014675784954824578,20.033
14,1000,19958,19653,0.015282092394027447,19.958
15,1000,20131,19805,0.0161939297600715,20.131
16,999,19962,19656,0.015329125338142457,19.98198198198198
17,1000,19763,19439,0.016394272124677478,19.763
18,1000,19852,19551,0.015162200282087479,19.852
19,1000,19662,19303,0.01825856983012919,19.662
20,998,19574,19280,0.015019924389496286,19.613226452905813
21,1000,19169,18849,0.016693619907141688,19.169
22,1000,19114,18821,0.015329078162603316,19.114
23,999,19038,18773,0.013919529362327987,19.057057057057058
24,1000,19106,18865,0.012613838584737747,19.106
25,1000,19310,19050,0.013464526152252687,19.31
26,1000,18960,18692,0.014135021097046452,18.96
27,1000,19024,18752,0.014297729184188368,19.024
28,1000,18814,18586,0.012118635058998573,18.814
29,998,18675,18380,0.01579651941097726,18.7124248496994
30,1000,18284,18006,0.015204550426602514,18.284
31,999,18636,18399,0.012717321313586605,18.654654654654653
32,999,18328,18093,0.012821911828895693,18.346346346346348
33,1000,18052,17834,0.012076224241081346,18.052
34,1000,18029,17769,0.014421210272339002,18.029
35,1000,17958,17703,0.01419979953224193,17.958
36,1000,18006,17758,0.013773186715539287,18.006
37,1000,18241,17981,0.014253604517296181,18.241
38,1000,17561,17367,0.01104720687887939,17.561
39,1000,17704,17469,0.013273836421147767,17.704
40,999,17650,17436,0.012124645892351293,17.66766766766767
41,998,17837,17604,0.013062734764814676,17.872745490981963
42,999,17670,17442,0.012903225806451646,17.68768768768769
43,999,17658,17431,0.012855363008268172,17.675675675675677
44,999,17869,17645,0.012535676310929555,17.886886886886888
45,998,17804,17553,0.014097955515614435,17.839679358717436
46,998,17352,17129,0.012851544490548594,17.386773547094187
47,1000,17700,17458,0.01367231638418076,17.7
48,997,17364,17148,0.012439530062197668,17.416248746238715
49,999,17666,17423,0.013755236046643304,17.683683683683682
50,1000,17190,16965,0.01308900523560208,17.19
51,998,17398,17192,0.011840441430049475,17.432865731462925
52,1000,17075,16870,0.012005856515373337,17.075
53,1000,17274,17051,0.012909575083941194,17.274
54,1000,16983,16773,0.01236530648295353,16.983
55,1000,17305,17071,0.013522103438312616,17.305
56,998,16942,16734,0.01227718097036945,16.975951903807616
57,998,17200,16971,0.013313953488372055,17.23446893787575
58,998,16906,16687,0.01295398083520638,16.939879759519037
59,997,16825,16586,0.014205052005943575,16.875626880641924
60,998,16763,16586,0.010558969158265263,16.796593186372746
61,995,16747,16509,0.014211500567265833,16.831155778894473
62,1000,16904,16651,0.014966871746332266,16.904
63,1000,16796,16554,0.014408192426768274,16.796
64,998,16394,16193,0.012260583140173198,16.42685370741483
65,998,16406,16231,0.010666829208826,16.438877755511022
66,997,16597,16379,0.013134903898294858,16.646940822467403
67,999,16783,16620,0.00971220878269674,16.7997997997998
68,999,16311,16096,0.013181288700876759,16.32732732732733
69,999,16461,16252,0.012696676994107259,16.47747747747748
70,999,16602,16409,0.011625105408986869,16.61861861861862
71,997,16375,16163,0.01294656488549617,16.424272818455368
72,1000,16124,15942,0.011287521706772496,16.124
73,1000,16612,16413,0.011979292078015846,16.612
74,1000,16314,16109,0.012565894323893545,16.314
75,998,16030,15853,0.011041796631316325,16.062124248496993
76,999,16027,15834,0.012042178823235772,16.043043043043042
77,997,16058,15813,0.01525719267654757,16.106318956870613
78,996,16269,16061,0.012785051324605057,16.33433734939759
79,999,16185,15997,0.011615693543404415,16.2012012012012
80,997,16042,15851,0.011906246103977058,16.09027081243731
81,996,16153,15949,0.012629232959821657,16.217871485943775
82,999,15981,15780,0.012577435704899553,15.996996996996996
83,999,15671,15493,0.011358560398187723,15.686686686686686
84,999,15782,15601,0.011468761880623513,15.797797797797799
85,998,16141,15950,0.011833219750944757,16.173346693386772
86,996,16193,16005,0.01160995491879202,16.258032128514056
87,999,15757,15592,0.010471536459985997,15.772772772772774
88,999,16000,15845,0.00968749999999996,16.016016016016017
89,1000,15707,15530,0.011268861017380782,15.707
90,999,15775,15585,0.012044374009508751,15.79079079079079
91,999,15912,15711,0.01263197586726994,15.927927927927929
92,998,15406,15202,0.013241594184084104,15.43687374749499
93,1000,15956,15765,0.011970418651291004,15.956
94,996,15665,15456,0.01334184487711454,15.727911646586346
95,998,15462,15309,0.009895227008149043,15.492985971943888
96,998,15758,15570,0.01193044802639931,15.789579158316633
97,996,15850,15676,0.010977917981072505,15.913654618473895
98,996,15444,15287,0.010165760165760207,15.506024096385541
99,997,15496,15328,0.010841507485802815,15.542627883650953
100,486,8098,8043,0.006791800444554186,16.662551440329217
101,233,4105,4070,0.008526187576126665,17.61802575107296
102,117,2060,2059,0.0004854368932039055,17.60683760683761
103,56,1031,1030,0.0009699321047527132,18.410714285714285
