hop,n_queries,total_evals,unique_nodes,sharing_rate,avg_evals
0,1000,32000,32,0.999,32.0
1,1000,31715,1011,0.9681223395869463,31.715
2,1000,30256,12756,0.578397673188789,30.256
3,1000,30231,26231,0.13231451159405905,30.231
4,1000,30125,29434,0.02293775933609954,30.125
5,1000,30313,30259,0.0017814139148220054,30.313
6,1000,30333,30324,0.0002967065572149208,30.333
7,1000,30019,30009,0.00033312235584126437,30.019
8,1000,29821,29813,0.00026826732839269063,29.821
9,1000,29605,29596,0.00030400270224628656,29.605
10,1000,29390,29369,0.0007145287512759779,29.39
11,1000,29147,29127,0.0006861769650392535,29.147
12,1000,28716,28706,0.00034823791614435606,28.716
13,1000,28530,28524,0.0002103049421661174,28.53
14,1000,28128,28126,7.110352673489473e-05,28.128
15,1000,28060,28043,0.0006058446186743005,28.06
16,1000,27942,27937,0.00017894209433821917,27.942
17,1000,27722,27717,0.00018036216723182896,27.722
18,1000,27332,27319,0.00047563295770525205,27.332
19,1000,27452,27446,0.00021856331050562616,27.452
20,1000,27073,27063,0.0003693716987404061,27.073
21,1000,27055,27048,0.0002587322121604396,27.055
22,1000,26938,26929,0.0003341005271363384,26.938
23,1000,26860,26852,0.00029784065524940395,26.86
24,1000,26635,26631,0.00015017833677488657,26.635
25,1000,26584,26578,0.0002256996689737889,26.584
26,999,26574,26572,7.526153383008438e-05,26.6006006006006
27,1000,26309,26303,0.00022805883918053382,26.309
28,999,26345,26336,0.0003416208009109356,26.37137137137137
29,1000,26175,26172,0.00011461318051575464,26.175
30,1000,26056,26053,0.00011513662879947262,26.056
31,1000,26060,26057,0.00011511895625482271,26.06
32,1000,25726,25724,7.774236181290473e-05,25.726
33,1000,25739,25729,0.00038851548234197786,25.739
34,1000,25728,25725,0.00011660447761197013,25.728
35,1000,25788,25782,0.0002326663564448106,25.788
36,1000,25494,25486,0.00031379932533148747,25.494
37,1000,25757,25754,0.00011647319175367432,25.757
38,1000,25374,25372,7.882084023014269e-05,25.374
39,1000,25300,25295,0.00019762845849802257,25.3
40,1000,25399,25394,0.00019685814402137236,25.399
41,1000,25295,25290,0.00019766752322591952,25.295
42,1000,25170,25167,0.000119189511323059,25.17
43,1000,25092,25082,0.0003985333970987215,25.092
44,1000,25017,25012,0.00019986409241712355,25.017
45,1000,24997,24992,0.00020002400288032796,24.997
46,1000,24976,24971,0.0002001921844970722,24.976
47,1000,24911,24909,8.028581751029495e-05,24.911
48,1000,24663,24655,0.0003243725418643484,24.663
49,1000,24879,24873,0.00024116724948752832,24.879
50,1000,24832,24828,0.00016108247422685906,24.832
51,1000,24790,24783,0.00028237192416291634,24.79
52,1000,24509,24504,0.00020400669141951155,24.509
53,1000,24449,24444,0.00020450734181354235,24.449
54,1000,24262,24257,0.00020608358750306977,24.262
55,1000,24522,24515,0.00028545795612100466,24.522
56,1000,24320,24318,8.22368421052877e-05,24.32
57,1000,24364,24361,0.00012313249055984077,24.364
58,1000,24229,24227,8.254570968668773e-05,24.229
59,1000,24225,24197,0.0011558307533540146,24.225
60,1000,24315,24312,0.00012338062924122095,24.315
61,1000,24001,23998,0.00012499479188365914,24.001
62,1000,24319,24312,0.0002878407829269847,24.319
63,1000,24213,24210,0.0001239003840911579,24.213
64,1000,24184,24182,8.269930532578407e-05,24.184
65,1000,23869,23864,0.0002094767271355602,23.869
66,1000,23979,23974,0.0002085157846448693,23.979
67,1000,23900,23896,0.00016736401673644874,23.9
68,1000,24032,24029,0.00012483355525960693,24.032
69,999,23724,23722,8.430281571403242e-05,23.74774774774775
70,1000,23679,23672,0.00029562059208576574,23.679
71,1000,23767,23761,0.0002524508772667744,23.767
72,1000,23718,23714,0.00016864828400375842,23.718
73,1000,23650,23647,0.00012684989429179172,23.65
74,1000,23675,23671,0.0001689545934530079,23.675
75,1000,23619,23616,0.0001270163851136985,23.619
76,1000,23550,23550,0.0,23.55
77,1000,23494,23492,8.512811781735685e-05,23.494
78,1000,23635,23632,0.00012693039983080467,23.635
79,1000,23586,23580,0.0002543881963876782,23.586
80,1000,23347,23345,8.566411102073346e-05,23.347
81,1000,23397,23393,0.00017096208915667876,23.397
82,1000,23395,23390,0.0002137208805300661,23.395
83,1000,23198,23192,0.00025864298646438577,23.198
84,1000,23316,23314,8.577800651909939e-05,23.316
85,1000,23299,23297,8.584059401695043e-05,23.299
86,1000,23193,23188,0.0002155822877591973,23.193
87,1000,23185,23181,0.00017252533965927963,23.185
88,1000,23297,23294,0.0001287719448855862,23.297
89,1000,23015,23009,0.00026069954377583304,23.015
90,1000,23259,23259,0.0,23.259
91,1000,23092,23088,0.00017322016282694808,23.092
92,1000,23022,23018,0.00017374685083837438,23.022
93,1000,22978,22977,4.351988858908307e-05,22.978
94,999,22850,22847,0.00013129102844633422,22.872872872872872
95,1000,22786,22783,0.00013165979109974746,22.786
96,1000,23082,23079,0.00012997140629056325,23.082
97,1000,22863,22862,4.373879193453334e-05,22.863
98,1000,22973,22970,0.00013058808166110936,22.973
99,1000,22784,22783,4.389044943819975e-05,22.784
100,1000,22938,22936,8.719155985703608e-05,22.938
101,1000,22707,22704,0.00013211784912137148,22.707
102,1000,22698,22697,4.4056745087672766e-05,22.698
103,993,22587,22585,8.854650905387729e-05,22.746223564954683
104,968,22014,22011,0.0001362769146906473,22.74173553719008
105,877,19776,19774,0.00010113268608413772,22.549600912200685
106,700,15882,15880,0.00012592872434202818,22.68857142857143
107,500,11628,11626,0.00017199862401096055,23.256
108,330,7862,7860,0.0002543881963876782,23.824242424242424
109,220,5436,5436,0.0,24.70909090909091
110,145,3757,3757,0.0,25.910344827586208
111,103,2700,2700,0.0,26.21359223300971
112,78,2103,2103,0.0,26.96153846153846
113,64,1686,1686,0.0,26.34375
