Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Spin Time:Imbalance or Serial Spinning	CPU Time:Spin Time:Lock Contention	CPU Time:Spin Time:Other	CPU Time:Overhead Time	CPU Time:Overhead Time:Creation	CPU Time:Overhead Time:Scheduling	CPU Time:Overhead Time:Reduction	CPU Time:Overhead Time:Atomics	CPU Time:Overhead Time:Other	Module	Function (Full)	Source File	Start Address
__kmp_fork_barrier	12.379284	0.0	12.379284	11.922399	0.0	0.456885	0.0	0.0	0.0	0.0	0.0	0.0	libiomp5.so	__kmp_fork_barrier(int, int)	kmp_barrier.cpp	0x82ac0
diskann::DistanceL2Float::compare	6.887764	6.887764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::DistanceL2Float::compare(float const*, float const*, unsigned int) const	[Unknown]	0x258d0
diskann::Index<float, unsigned int, unsigned int>::iterate_to_fixed_point.constprop.1	0.899018	0.899018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::Index<float, unsigned int, unsigned int>::iterate_to_fixed_point(diskann::InMemQueryScratch<float>*, unsigned int, std::vector<unsigned int, std::allocator<unsigned int>> const&, bool, std::vector<unsigned int, std::allocator<unsigned int>> const&, bool).constprop.1	[Unknown]	0x8b6d0
pthread_mutex_lock	0.409796	0.0	0.409796	0.0	0.0	0.409796	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	pthread_mutex_lock	[Unknown]	0x9fff0
std::istream::read	0.289308	0.289308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::read(char*, long)	[Unknown]	0x1380e0
std::vector<unsigned int, std::allocator<unsigned int>>::vector	0.259954	0.259954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<unsigned int, std::allocator<unsigned int>>::vector(std::vector<unsigned int, std::allocator<unsigned int>> const&)	[Unknown]	0x1369a0
__pthread_mutex_unlock	0.238775	0.0	0.238775	0.0	0.0	0.238775	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	__pthread_mutex_unlock	[Unknown]	0xa1a70
func@0x1a1b80	0.230058	0.230058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	func@0x1a1b80	[Unknown]	0x1a1b80
std::vector<unsigned long, std::allocator<unsigned long>>::_M_fill_insert	0.221692	0.192144	0.029549	0.0	0.0	0.029549	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<unsigned long, std::allocator<unsigned long>>::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long>>>, unsigned long, unsigned long const&)	[Unknown]	0x1aaf60
func@0x1a1340	0.110166	0.110166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	func@0x1a1340	[Unknown]	0x1a1340
__kmp_api_omp_get_num_procs	0.102094	0.0	0.0	0.0	0.0	0.0	0.102094	0.0	0.0	0.0	0.0	0.102094	libiomp5.so	__kmp_api_omp_get_num_procs	kmp_ftn_entry.h	0xa97c0
tcmalloc::ThreadCache::FetchFromCentralCache	0.069999	0.069999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tcmalloc::ThreadCache::FetchFromCentralCache(unsigned int, int, void* (*)(unsigned long))	[Unknown]	0x25ad0
diskann::InMemQueryScratch<float>::clear	0.059932	0.059932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::InMemQueryScratch<float>::clear(void)	[Unknown]	0x4b3850
memset	0.049998	0.049998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	memset	[Unknown]	0x6a3b0
tc_delete_sized	0.020011	0.020011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tc_delete_sized	[Unknown]	0x32ec0
tcmalloc::ThreadCache::ListTooLong	0.020000	0.020000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tcmalloc::ThreadCache::ListTooLong(tcmalloc::ThreadCache::FreeList*, unsigned int)	[Unknown]	0x248e0
operator new	0.019996	0.019996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc++abi.so	operator new(unsigned long)	[Unknown]	0x25000
memcmp	0.019964	0.019964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	memcmp	[Unknown]	0x69ce0
OS_BARESYSCALL_DoCallAsmIntel64Linux	0.010014	0.010014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	OS_BARESYSCALL_DoCallAsmIntel64Linux	[Unknown]	0x80954
